id,imdb_id,original_title,adult,backdrop_path,budget,homepage,original_language,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,collection_id,collection_name,origin_country,genres,genre_ids,production_companies,production_countries,spoken_languages,keywords
80278,tt1649419,The Impossible,False,/3NfM0sRwVLnsQkCd5YBPGvM9a5v.jpg,45000000,,en,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",10.0265,/k0DLCiDbnYywOHiISALbl2EH2NE.jpg,2012-09-09,198100000,113,Released,Nothing is more powerful than the human spirit.,The Impossible,False,7.366,6547,,,US|ES,Drama|Thriller|History,18|53|36,Summit Entertainment|Apaches Films|Mediaset España|Telecinco Cinema,Spain|United States of America,English|Swedish|Thai,human vs nature|natural disaster|thailand|based on true story|tsunami|historical fiction|family vacation|struggle for survival|survival horror|tidal wave|catastrophe|swept away|separation from family|boxing day|disaster movie|whitewashing|man vs nature
70981,tt1446714,Prometheus,False,/qDG5SlGkWNsjSJWiGTBMFI8DpzA.jpg,130000000,https://www.20thcenturystudios.com/movies/prometheus,en,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",10.6875,/qsYQflQhOuhDpQ0W2aOcwqgDAeI.jpg,2012-05-30,403354469,124,Released,The search for our beginning could lead to our end.,Prometheus,False,6.59,12926,135416,Prometheus Collection,US,Science Fiction|Adventure|Mystery,878|12|9648,Dune Entertainment|20th Century Fox|Brandywine Productions|Scott Free Productions,United States of America|United Kingdom,Gaelic|English,android|alien|space|creature|spin off|creation|emergency surgery|archaeological dig|stasis|god complex|cave drawing|prometheus|genetic mutation|origins of life|lovecraftian|2090s|objective
82675,tt1397280,Taken 2,False,/5M92Rtz6r01HLrN0TMrU8jCbyVm.jpg,45000000,,en,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",9.6641,/yzAlcuJhpnxRPjaj7AHBRbNPQCJ.jpg,2012-09-27,376100000,91,Released,First they took his daughter. Now they're coming for him.,Taken 2,False,6.366,6958,135483,Taken Collection,FR|US,Action|Crime|Thriller,28|80|53,EuropaCorp|Grive Productions|M6 Films|20th Century Fox|Karma Film Prod|Taken 2|Dune Entertainment,France|Turkey|United States of America,English|Turkish|Arabic,kidnapping|fbi|turkey|police chase|teenage daughter|stealing a car|ex-husband ex-wife relationship|albanian|u.s. embassy|aggressive|furious
37724,tt1074638,Skyfall,False,/qB2eFmGEh5YCzhXUpz7As2PaDCh.jpg,200000000,https://mgm.com/movies/skyfall,en,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",9.5346,/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg,2012-10-24,1108594176,143,Released,Think on your sins.,Skyfall,False,7.256,15812,645,James Bond Collection,GB,Action|Adventure|Thriller,28|12|53,Metro-Goldwyn-Mayer|EON Productions|Columbia Pictures,United Kingdom|United States of America,English,spy|secret agent|sociopath|police impersonator|mi6|killer|art gallery|british secret service|uzi|booby trap|macao|komodo dragon|globetrotting|intense|vibrant|007
57800,tt1667889,Ice Age: Continental Drift,False,/kyTlMMVWo1GffYoQctZwLqJcwaj.jpg,95000000,http://www.iceagemovies.com/films/ice-age-continental-drift,en,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",9.5788,/dfp1BZF7FxbBUyzHvMOI9t8NWDD.jpg,2012-06-27,877244782,88,Released,The end of the world is just the tip of the iceberg.,Ice Age: Continental Drift,False,6.386,7941,8354,Ice Age Collection,US,Animation|Comedy|Adventure|Family,16|35|12|10751,Blue Sky Studios|20th Century Fox Animation|20th Century Fox,United States of America,English,villain|sequel|prehistory|seal (animal)|aftercreditsstinger|duringcreditsstinger|melting ice|floating ice|land bridge|era|glaciale
72105,tt1637725,Ted,False,/hkAVgWvAMmM8tj9CDEvGqMdNQBE.jpg,50000000,https://www.uphe.com/movies/ted,en,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",9.4811,/tZPTcdGTpxq4yJx1YxqBl0gthNz.jpg,2012-06-29,549368315,107,Released,Ted is coming.,Ted,False,6.448,12899,266672,Ted Collection,US,Comedy|Fantasy,35|14,Universal Pictures|MRC|Fuzzy Door Productions|Bluegrass Films|Smart Entertainment,United States of America,English,friendship|dreams|love|buddy|teddy bear|toy comes to life|wishes come true
82633,tt1212450,Lawless,False,/fEI7I233M9hkw1MRSBXEgauXhRl.jpg,26000000,http://lawless-film.com/,en,"In 1931, the Bondurant brothers of Franklin County, Virginia, run a multipurpose backwoods establishment that hides their true business — bootlegging. Middle brother Forrest is the brain of the operation; older Howard is the brawn, and younger Jack, the lookout. Though the local police have taken bribes and left the brothers alone, a violent war erupts when a sadistic lawman from Chicago arrives and tries to shut down the Bondurants operation.",9.4206,/Ahtzwts22ayviD3LEVslfL4nRWB.jpg,2012-08-29,55404207,115,Released,"When the law became corrupt, outlaws became heroes.",Lawless,False,7.063,3221,,,US,Crime|Drama|Western,80|18|37,Benaroya Pictures|Yucaipa Films|Annapurna Pictures|Pie Films Inc.|Red Wagon Entertainment|Revolt Films|BlumHansonAllen Films,United States of America,English,corruption|based on novel or book|prohibition era|brother|gangster|great depression|appalachia|bootlegging|shootout|brutality|church|moonshine|virginia|1930s|lawman|brothers|violence
80321,tt1277953,Madagascar 3: Europe's Most Wanted,False,/hfdds27YL5nTAhiOtjfNNxD3bJe.jpg,145000000,,en,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.",9.3487,/ekraj4ksvIKeuvQVEevEJkuybZd.jpg,2012-06-06,746921274,93,Released,They have one shot to get back home.,Madagascar 3: Europe's Most Wanted,False,6.623,6418,14740,Madagascar Collection,US,Animation|Family|Comedy|Adventure,16|10751|35|12,DreamWorks Animation|Pacific Data Images,United States of America,English,friendship|circus|lion|zoo|hippopotamus|giraffe|penguin|cartoon|villain|zebra|slapstick comedy|madagascar|animals|lemur|talking animal|3d animation
84892,tt1659337,The Perks of Being a Wallflower,False,/3GppgdtQeVKfN6JhvGIGWYVsItn.jpg,13000000,https://www.lionsgate.com/movies/the-perks-of-being-a-wallflower,en,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",9.1338,/aKCvdFFF5n80P2VdS7d8YBwbCjh.jpg,2012-09-20,33384127,103,Released,We are infinite.,The Perks of Being a Wallflower,False,7.8,10954,,,US,Drama,18,Mr. Mudd,United States of America,English,"school friend|depression|high school|friendship|based on novel or book|trauma|coming of age|freshman|school|teenage boy|high school student|first love|aunt nephew relationship|lgbt|mental health|lgbt teen|pittsburgh, pennsylvania|candid|thoughtful|1990s|based on young adult novel|gay theme|boys' love (bl)|teenager|reminiscent|admiring|amused"
73723,tt1482459,The Lorax,False,/71FjlP0qZPc1iymcHf8u5vXfH50.jpg,70000000,,en,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",9.0405,/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg,2012-03-01,349305397,86,Released,Meet the original force of nature.,The Lorax,False,6.522,3781,,,US,Animation|Family,16|10751,Illumination|dentsu,United States of America|Japan,English,aftermath|tree|villain|musical|family business |money|tragic villain|consumerism|air|based on children's book|animal killing|walled city|reforestation|tree cutting|mad family|clothes factory|meme|social|abused child|illumination|singing animals|fish trio|biggering|unless|admiring|amused|appreciative|awestruck|dr. seuss
